baobeirequesttime,method,responseStatus,time,userId,accessTerminal
30/Dec/2019:20:02:08,/user/wxBangPhone.htm,200,793,,2
30/Dec/2019:20:02:08,/user/wxBangPhone.htm,200,793,,2
30/Dec/2019:20:02:08,/user/wxBangPhone.htm,200,793,,2
30/Dec/2019:20:02:08,/user/wxBangPhone.htm,200,793,,2
30/Dec/2019:20:02:01,/user/wxAuth.htm,200,1236,,1
30/Dec/2019:20:02:01,/user/wxAuth.htm,200,1236,,2
30/Dec/2019:20:02:01,/user/wxAuth.htm,200,1236,,2
30/Dec/2019:20:02:01,/user/wxAuth.htm,200,1236,,2
30/Dec/2019:20:02:01,/user/wxAuth.htm,200,1236,,2
30/Dec/2019:20:02:00,/rest,200,2691,,1
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,1
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:01:59,/rest,200,451,114863,1
30/Dec/2019:20:01:59,/rest,200,333,114863,1
30/Dec/2019:20:01:59,/rest,200,333,114863,2
30/Dec/2019:20:01:59,/rest,200,333,114863,2
30/Dec/2019:20:01:59,/rest,200,333,114863,2
30/Dec/2019:20:01:59,/rest,200,333,114863,2
30/Dec/2019:20:01:59,/rest,200,333,114863,2
30/Dec/2019:20:01:59,/rest,200,333,114863,2
30/Dec/2019:20:01:59,/rest,200,333,114863,2
30/Dec/2019:20:01:58,/rest,200,847,,1
30/Dec/2019:20:01:58,/ads/get.htm,200,1163,,1
30/Dec/2019:20:01:58,/ads/get.htm,200,1163,,2
30/Dec/2019:20:01:58,/rest,200,618,,1
30/Dec/2019:20:01:58,/rest,200,618,,2
30/Dec/2019:20:01:58,/limit/time/snatch/goods/list.htm,200,716,,1
30/Dec/2019:20:01:58,/limit/time/snatch/goods/list.htm,200,716,,2
30/Dec/2019:20:01:58,/limit/time/snatch/goods/list.htm,200,716,,2
30/Dec/2019:20:01:57,/goods/category/goods/list.htm,200,1566,144387,1
30/Dec/2019:20:01:57,/goods/category/goods/list.htm,200,1566,144387,2
30/Dec/2019:20:01:57,/goods/member/discount/goods/list.htm,200,399,,1
30/Dec/2019:20:01:57,/goods/act/tab/goods/list.htm,200,463,,1
30/Dec/2019:20:01:57,/goods/act/tab/goods/list.htm,200,463,,2
30/Dec/2019:20:01:57,/goods/act/tab/goods/list.htm,200,384,,1
30/Dec/2019:20:01:57,/goods/act/tab/goods/list.htm,200,384,,2
30/Dec/2019:20:01:57,/goods/category/tab/list.htm,200,373,,1
30/Dec/2019:20:01:57,/goods/category/tab/list.htm,200,373,,2
30/Dec/2019:20:01:57,/goods/category/tab/list.htm,200,373,,2
30/Dec/2019:20:01:57,/goods/category/tab/list.htm,200,373,,2
30/Dec/2019:20:01:56,/ads/get.htm,200,1693,144387,1
30/Dec/2019:20:01:56,/ads/get.htm,200,1693,144387,2
30/Dec/2019:20:01:56,/rest,200,289,144387,1
30/Dec/2019:20:01:56,/redpacket/unaccalimedRedpackt.htm,200,376,114863,1
30/Dec/2019:20:01:56,/redpacket/userAccount.htm,200,310,114863,1
30/Dec/2019:20:01:55,/redpacket/checkRedpacket.htm,200,244,114863,1
30/Dec/2019:20:01:56,/redpacket/checkRedpacket.htm,200,303,114863,1
30/Dec/2019:20:01:56,/user/getHomeBottonImg.htm,200,252,114863,1
30/Dec/2019:20:01:55,/goods/category/tab/list.htm,200,560,144387,1
30/Dec/2019:20:01:55,/redpacket/unaccalimedRedpackt.htm,200,418,144387,1
30/Dec/2019:20:01:55,/limit/time/snatch/goods/list.htm,200,556,144387,1
30/Dec/2019:20:01:55,/redpacket/unaccalimedRedpackt.htm,200,485,144387,1
30/Dec/2019:20:01:55,/redpacket/userAccount.htm,200,463,144387,1
30/Dec/2019:20:01:55,/redpacket/userAccount.htm,200,463,144387,2
